timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
46521,36,32767,31450,32458,31171,31819,32767,32767,31817,32767,32767,24567,31120,27805,32767,24159
46529,81,32767,21839,24430,23837,24348,30903,21735,24727,32767,31176,32767,32767,32767,28514,32767
46536,82,1515,5076,6485,6668,6630,5029,7039,7046,12987,12877,24743,13897,25143,14085,25713
46544,65,11013,5060,8340,3316,7073,12122,9480,15543,1280,3907,22483,13542,7329,6907,8829
46552,0,2361,26071,30422,23734,28342,5501,32767,4048,25158,27739,4863,4075,22009,30546,18987
46560,68,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
46567,87,14491,16045,16491,16950,18408,18794,16611,18107,18801,18951,26568,25074,20355,18609,25264
46575,86,5228,2158,1633,2589,340,3311,4421,3368,2620,1956,10569,3609,5105,1682,10733
46583,37,6375,22282,21868,24949,21672,19498,16452,19668,20237,21526,12313,14246,13404,22219,9443
46590,39,27046,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,29174
46598,86,32767,25403,27111,23099,25946,28247,28501,29567,28116,28340,32767,32643,32767,27729,32767
46606,93,18779,15677,17020,16434,17263,24677,8135,21333,21357,20174,20873,20440,16256,20361,20034
46614,42,2599,6446,7161,6848,5654,2219,18106,1715,591,3842,3256,1162,5655,7039,762
46621,62,32767,32552,32767,32767,32767,29962,32767,26716,32767,32767,23142,27263,26693,32767,23199
46629,101,32767,19419,16781,17348,18740,28802,24584,21957,32767,32767,32767,32767,32767,32004,32767
46637,88,3928,7738,4217,5504,7538,8292,14735,10908,18592,19591,27868,22896,30252,21350,27872
46644,81,21245,173,3265,4176,4256,24386,1018,22045,13994,9225,27423,23918,16098,8918,12586
46652,7,15022,29272,17156,17770,17637,12260,29504,6021,11999,17757,3606,4361,12284,20029,9330
46660,86,32767,32767,32767,26090,25946,32767,32767,32767,32767,32767,32767,32767,32767,32767,31422
46668,91,16728,16216,20010,18885,20304,24337,16664,21455,20034,17911,32767,29357,25761,16831,31422
46675,94,2492,2096,10758,550,846,6426,1020,6257,2149,2219,12804,5351,9610,4212,15371
46683,55,10978,20052,18697,19583,18826,6255,20452,3642,17286,18865,9609,13714,7318,20310,2867
46691,15,27465,32767,32378,32767,32767,13210,32767,13379,32767,32767,32767,32767,31222,32767,27437
46698,76,32767,28601,32767,32010,31349,32767,27079,32767,29330,27886,32767,32755,32767,28596,32767
46706,101,18989,17670,16723,19005,19620,23171,11583,19384,22990,21454,20716,21831,16765,23742,20623
46714,66,1931,3839,4767,3778,2819,1979,13462,6828,2207,969,5331,2392,3331,5089,609
46722,2,32767,32767,32767,32767,32767,28412,32767,27160,31406,32679,18191,25896,24743,32767,22726
46729,59,32767,23866,21628,21777,24489,32199,29206,27417,32767,32767,32767,32767,32767,32767,32767
46737,120,4483,8364,6010,5245,8534,15361,16345,14711,16718,16224,32767,22784,28360,18465,27967
46745,75,17660,11037,13512,12917,11367,21478,1668,20327,1432,1482,25536,21572,10763,3702,11073
46753,9,320,10816,9253,10331,10739,4797,26962,3244,23929,24893,1984,1638,15078,25448,9851
46760,54,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,30343
46768,87,13171,15235,14574,15475,16022,22093,17096,21851,20821,19953,32767,31018,28065,19804,32767
46776,88,5508,4672,4882,4580,4191,3429,1831,3351,6501,4969,13284,8525,13347,5542,19743
46783,43,14247,16148,20825,17368,16017,1380,15805,991,13641,13381,4212,11240,2676,14053,3091
46791,37,32767,32767,32767,32767,32767,7997,32767,9681,32767,32767,29097,32254,27328,32767,22473
46799,82,32767,30620,27935,31743,32543,32767,29631,32767,32639,32432,32767,32767,32767,31501,32767
46807,91,24067,18845,20793,20302,20687,25072,13667,19992,24300,22822,21102,20275,17817,24463,23125
46814,70,2,1168,162,439,220,1235,7050,5854,2814,263,6058,5598,2133,2497,1367
46822,22,25973,26807,30502,29416,30224,15413,31431,18224,28683,29765,18435,21032,23751,31981,22277
46830,69,32767,25610,27345,26115,29683,22709,32767,24303,32767,32767,32767,32767,32767,32767,32767
46837,90,15457,15733,14255,14084,16551,24604,18671,24314,22244,22458,32767,25674,29134,23189,29156
46845,87,19545,7016,7644,7507,7549,23058,865,20248,7633,4752,25561,19160,12692,2059,13263
46853,7,2752,15934,16958,16802,16779,2792,25441,30,19740,21404,1955,1989,9530,23916,4321
46861,76,32767,32256,32767,32238,32532,32767,32767,32767,32767,32767,29432,32767,29482,32767,24247
46868,103,15964,19121,20961,20878,21757,30073,17224,24651,25653,24017,32767,32727,32618,23582,32767
46876,114,2713,191,3106,3176,3871,1121,1416,1420,10810,8798,17200,10680,18761,9029,22975
46884,53,1663,15662,19444,19087,17188,3247,15754,872,11043,11298,5977,7972,678,11447,6041
46892,39,15270,32767,32767,32767,32767,11776,32767,13314,32767,32767,14468,27894,24241,32767,19109
46899,104,28168,26757,27250,24382,25119,32767,30456,32767,32767,32767,32767,32767,32767,32767,32767
46907,111,24427,18939,22088,20721,21482,25590,18233,20893,23173,22521,28857,22582,19415,23366,24863
46915,64,6917,8442,6783,9015,11766,5369,5361,2633,6881,3883,8703,8577,3669,2731,8268
46923,4,5719,28132,28024,23852,25833,6460,18840,8769,20252,22226,14424,13230,14038,25260,11690
46930,45,23551,32767,32767,32767,32767,15649,32767,20207,32767,32767,32620,32767,32767,32767,31189
46938,86,22240,17996,19643,22447,19264,23198,26795,24276,28732,27613,32767,32767,32767,27420,32129
46946,83,17076,16595,21025,17826,17581,24598,5600,21078,19157,16598,21782,20705,13901,13152,15806
46953,16,9341,8547,4692,6119,6954,8512,24091,3090,4637,8438,2967,364,7744,16981,2538
46961,52,32767,32767,32300,32385,32767,32767,32767,32767,32767,32767,26623,31432,28727,32767,24762
46969,93,32767,19777,23070,22722,21504,32767,19920,28798,31269,28263,32767,32767,32126,27535,32767
46976,94,5504,1503,5934,4540,2514,1748,4991,1387,12773,11593,21029,11739,22121,11766,23532
46984,33,3883,5188,4649,5634,5465,5317,11113,9253,7709,8824,15011,2682,5022,11797,7333
46992,37,6012,24037,23465,25131,25651,7723,32767,6443,31463,31676,8158,16618,22559,32767,18134
47000,72,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
47007,63,15237,17411,17231,17105,17157,17697,17737,17246,19353,19246,28552,21430,20101,19241,25428
47015,36,6107,3115,3080,2974,1281,5564,2263,3134,2200,706,8661,2605,3077,31,7083
47023,6,11846,26648,25506,30234,28792,18538,21947,20800,23127,24810,14824,16395,16204,25765,13962
47030,45,32674,32767,32767,32767,32767,32767,32767,32725,32767,32767,32767,32767,32767,32767,32235
47038,100,32767,21791,23393,17385,19078,28113,25396,29081,27149,26646,32767,31186,31604,27396,32649
47046,129,22066,15197,14942,15087,15724,23718,6283,20464,20871,18909,21094,19960,15336,18643,17732
47054,62,944,6970,9199,7368,6894,2862,19447,678,1175,5549,1815,231,6226,8703,1846
47061,16,32767,32074,32767,32767,32767,32767,32767,32394,32767,32767,24698,30216,27986,32767,25360
47069,43,32767,22095,19938,22206,24570,32767,22504,25237,32767,31083,32767,32767,32767,29893,32767
47077,84,1619,5372,2814,4148,6916,2423,7621,6799,13515,13613,25367,14894,24646,14491,24254
47085,73,19066,5903,1535,2879,3321,17791,7800,19400,2542,5250,24851,18324,7257,7425,8459
47092,13,9917,27932,22570,23189,23306,2440,31159,325,25615,27580,2756,1631,21402,29049,17645
47100,72,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767,32767
47108,85,16859,17295,18011,17624,19107,16746,17342,16765,19475,19213,25210,26167,20523,19548,25602
47115,84,64,447,2522,2112,290,10812,3125,3155,3836,2596,8637,4053,7814,1801,12938
47123,25,11852,21475,26708,25239,22682,8815,18486,8749,18841,20126,12656,13910,8321,21120,4150
47131,71,29816,32767,32767,32767,32767,25365,32767,21859,32767,32767,32767,32767,30768,32767,26077
47139,122,32767,26829,24560,24608,26283,32767,28615,32767,29097,28134,32767,32311,32767,28929,32767
47146,111,18700,17661,20327,19838,19671,27044,10331,19334,23424,22178,20590,21293,17552,23886,22745
47154,42,2654,4152,3588,2488,2080,6764,13915,4640,3754,2801,3710,3918,2958,2133,1533
