timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
32532,73,2868,3216,4020,3885,775,4160,3304,4007,2949,3582,2987,1917,2812,1317,1652
32532,161,3761,3418,30,20,2548,256,1392,1942,3319,3242,2476,1040,191,2336,1425
32533,157,776,3370,3416,2754,2906,2894,2312,2504,1323,2457,3943,2344,20,629,662
32534,115,3621,307,4156,4237,1031,5347,3394,4666,2714,2888,5441,2483,4090,2781,4108
32535,193,4573,3172,4277,4091,3229,3836,2811,3136,3246,2550,3753,2915,2334,3102,1059
32536,104,3879,2907,3632,2945,2969,3867,3405,3248,3664,3200,3940,3246,2808,3442,2466
32537,358,4065,3245,3339,282,2730,4041,4041,3479,3668,3586,4126,3563,3635,3866,3383
32537,350,4468,2722,4095,2970,3204,4421,2294,3986,2480,1461,4701,3583,3476,4190,3133
32538,68,4731,2622,4012,1479,3838,4865,2532,3991,3219,2704,4245,4444,4015,4507,3491
32539,143,4762,3408,4010,2687,3348,4431,3514,4067,3822,3814,5092,3760,4013,4353,3601
32540,131,4629,3617,2731,3712,3936,4870,3020,3857,4197,3933,4571,4651,3962,4391,4061
32541,113,3937,3916,2145,617,1111,3579,3330,4251,963,2619,3543,3782,3990,4366,3612
32542,141,924,2324,52,2716,1945,1185,2393,45,758,3950,3405,68,64,5092,500
32543,313,1465,1301,191,259,1362,3484,2406,506,1703,1031,2999,1227,2740,340,2647
32543,33,1349,32,173,2303,222,835,2753,1844,2782,2915,1609,1717,2338,2684,3306
32544,394,3712,2878,6007,7322,3889,8170,9454,7976,3653,3780,10314,9070,9114,8463,9406
32546,1043,4683,4697,5296,442,367,4808,3493,3970,3191,2687,3946,2863,3023,4045,3532
32547,106,3427,3175,3186,1350,3101,3272,3581,3283,3505,3530,3865,3544,3319,2947,3344
32548,720,3509,3234,3675,2571,2249,3456,4058,3683,3629,3208,4000,3621,3393,3662,3657
32549,684,3713,3289,3525,3074,3175,3636,3354,3735,3720,3484,4659,4328,3874,4178,4609
32550,284,5271,4779,5102,4594,4755,5249,4610,5375,4787,4874,5189,4679,4037,4739,3923
32550,271,3850,3641,3838,3337,3519,3724,2533,3324,4190,3673,4088,2390,3439,3596,4040
32551,109,4080,3557,3741,3323,3594,4142,1261,3835,3298,3281,3899,1691,2721,3992,3142
32552,38,3180,3371,2562,3826,3757,4170,3250,2658,1052,3440,84,2956,589,3029,931
32553,32,1020,3398,3509,2712,3583,2990,2704,234,432,2476,488,202,1947,966,2175
32554,91,3050,1033,1464,1028,3706,450,3316,1317,155,2126,1840,2838,2938,2608,3948
32555,193,4031,1505,2414,2088,1125,3459,4420,3487,2576,770,4010,3210,3990,3122,2854
32555,43,4185,2024,3457,3513,3329,3386,3136,3580,4043,3430,3914,4104,2352,4336,3182
32556,8,4479,3437,3199,1727,1333,5030,4039,3940,4301,3967,5236,3726,4112,5352,5158
32557,187,5556,4581,1732,1525,1685,4960,662,4277,1440,4063,4674,3821,3395,3587,984
32558,77,4103,3328,3059,2921,2955,3824,1730,3317,2317,3521,3837,3605,3389,3759,2646
32559,216,3915,3493,3483,3279,3272,4048,2698,3359,3205,3807,4208,3005,3189,4012,3141
32560,400,4764,3972,4097,3961,3767,4630,3680,4034,3950,4237,4821,4459,4310,4289,3489
32561,164,4679,4061,4306,4099,4289,4627,4094,4176,4286,4282,4377,3461,4501,4447,3809
32561,111,3283,3394,4223,4164,3626,4583,906,3910,640,2017,1945,3327,1845,976,3392
32562,239,941,2921,2695,1618,3269,2325,2568,2096,2191,1480,1040,1,256,2585,3072
32563,345,1226,4239,4828,4751,4496,890,8687,4621,1204,228,8050,6197,6307,9002,25
32565,1348,7681,253,340,3779,494,3063,3321,3192,345,1454,3738,3179,2340,3026,2475
32566,351,3578,2172,684,2987,535,3339,3317,3331,1215,2124,3538,3235,2911,3458,3371
32567,820,3795,2939,527,3016,1885,3644,3680,3410,2261,2804,3854,3443,3099,3264,3117
32568,812,3267,2855,2089,1111,2635,3080,3757,3489,3177,3250,3724,3360,3017,3380,3434
32568,535,3667,3351,3047,2400,2795,3503,3282,3719,3326,3292,4022,3567,3252,3675,3263
32569,266,3789,3498,3328,3069,3006,3572,4050,3782,3626,3482,4094,3602,3235,3586,3569
32570,0,4004,3417,3641,2942,3904,3983,3756,3980,3819,3764,4364,3848,3531,3727,3826
32571,325,4850,3957,4138,4309,3774,4273,4098,4342,4340,4100,4775,3687,3709,4164,2938
32572,468,1096,3922,3570,3091,3507,3727,2011,4511,2879,2585,2027,4757,1350,400,1807
32573,597,1726,1964,982,1918,2937,2482,894,814,2228,1733,2676,1018,893,2301,1357
32573,145,608,2533,794,2942,2961,1852,4098,2130,2478,1404,2392,1868,1623,2707,2047
32574,228,3336,109,204,3719,580,3981,3241,3863,4094,1928,4557,3529,3778,4286,3104
32575,156,4084,2843,505,3946,3014,4028,2816,3223,4048,3524,4442,3641,3232,4110,2586
