N6705B exported datalog

"Sample interval: 0.00012288"
"Trigger sample: 0"
"Date: Wed Sep 11 20:03:41 2024"

Sample,"Volt avg 1","Curr avg 1"
0,3.69938,0.0159407
1,3.70011,0.0158158
2,3.69982,0.0150761
3,3.69967,0.015311
4,3.69967,0.0167204
5,3.70062,0.0147113
6,3.69982,0.0138716
7,3.70026,0.0156258
8,3.69974,0.0166004
9,3.69989,0.0147512
10,3.70018,0.0158058
11,3.69996,0.0160107
12,3.69989,0.0146813
13,3.70004,0.0147063
14,3.69974,0.0156109
15,3.69967,0.0163655
16,3.69974,0.0158907
17,3.69989,0.0151111
18,3.69989,0.0159957
19,3.69974,0.0148112
20,3.6996,0.0157208
21,3.70018,0.0148862
22,3.70062,0.0156009
23,3.70011,0.0158857
24,3.69945,0.0158957
25,3.69989,0.0145363
26,3.69974,0.0155909
27,3.70026,0.0164505
28,3.69952,0.015311
29,3.70011,0.0146213
30,3.69982,0.0158807
31,3.70011,0.0167803
32,3.70033,0.015256
33,3.69952,0.0154659
34,3.69989,0.0155209
35,3.7004,0.0147063
36,3.69967,0.0161056
37,3.69938,0.0172351
38,3.69952,0.0169752
39,3.69974,0.0167254
40,3.69996,0.0161406
41,3.70011,0.0151061
42,3.70033,0.0162556
43,3.69996,0.0149362
44,3.6996,0.0157408
45,3.69982,0.0154409
46,3.70026,0.0180348
47,3.69982,0.0149462
48,3.69952,0.0164555
49,3.70026,0.015296
50,3.70011,0.0163705
51,3.70011,0.0190993
52,3.69996,0.0181147
53,3.69952,0.0184696
54,3.6996,0.0186545
55,3.70055,0.0169802
56,3.69974,0.0149861
57,3.69982,0.015286
58,3.70026,0.01744
59,3.70033,0.0160107
60,3.69989,0.0151111
61,3.69982,0.015246
62,3.69996,0.0159207
63,3.70026,0.0139766
64,3.69982,0.0168203
65,3.70048,0.01764
66,3.69974,0.0149162
67,3.69938,0.015331
68,3.70026,0.0146513
69,3.6996,0.0154959
70,3.6996,0.0160557
71,3.70011,0.0145413
72,3.69996,0.0169653
73,3.6996,0.0141115
74,3.70004,0.0157708
75,3.70026,0.0167653
76,3.6996,0.0146263
77,3.69974,0.0157308
78,3.69989,0.0167503
79,3.69952,0.015246
80,3.70011,0.0154559
81,3.7004,0.0143064
82,3.69923,0.0142814
83,3.70026,0.01757
84,3.69989,0.0162756
85,3.70033,0.0155159
86,3.69996,0.0156858
87,3.69989,0.0151611
88,3.69923,0.0141965
89,3.69996,0.0167803
90,3.69945,0.015191
91,3.70011,0.0157558
92,3.70004,0.0158258
93,3.69989,0.0157158
94,3.6996,0.0163955
95,3.70018,0.0146263
96,3.69982,0.0165854
97,3.70018,0.015221
98,3.69967,0.0154509
99,3.69982,0.0157208
100,3.70048,0.0170952
101,3.69989,0.0157458
102,3.69923,0.0156358
103,3.70033,0.0158707
104,3.70011,0.0165354
105,3.70018,0.0142665
106,3.69989,0.0168103
107,3.70004,0.015271
108,3.69996,0.0151111
109,3.69996,0.0165204
110,3.69952,0.0147013
111,3.70004,0.0154609
112,3.69938,0.0177299
113,3.69989,0.019779
114,3.6996,0.0191693
115,3.69952,0.0226527
116,3.70092,0.0193342
117,3.6996,0.0164805
118,3.70048,0.0149012
119,3.69945,0.0156508
120,3.70011,0.0150261
121,3.6996,0.0165904
122,3.70018,0.0170402
123,3.70004,0.0168803
124,3.69967,0.0133569
125,3.69945,0.0148912
126,3.69996,0.0171502
127,3.69989,0.0167603
128,3.70011,0.0146213
129,3.69982,0.0156708
130,3.69938,0.0171452
131,3.70011,0.0166304
132,3.70004,0.0150661
133,3.70033,0.0157008
134,3.70011,0.0157308
135,3.70004,0.0154659
136,3.70018,0.0143664
137,3.69989,0.015326
138,3.69996,0.0160157
139,3.70048,0.0157658
140,3.7004,0.0173401
141,3.69996,0.0150261
142,3.69996,0.0145563
143,3.69952,0.0156858
144,3.69989,0.0149312
145,3.69989,0.0163455
146,3.69967,0.0150961
147,3.70055,0.0145713
148,3.69974,0.0160557
149,3.69996,0.0159107
150,3.69996,0.0151611
151,3.69989,0.0156558
152,3.69967,0.015361
153,3.70004,0.0159857
154,3.70004,0.0158158
155,3.70062,0.0154709
156,3.70033,0.015391
157,3.69952,0.0166154
158,3.69967,0.0137917
159,3.6993,0.0158707
160,3.70018,0.0166954
161,3.69996,0.0174151
162,3.69982,0.0159457
163,3.70004,0.0158507
164,3.69952,0.0149711
165,3.69901,0.0148712
166,3.70011,0.0171352
167,3.69982,0.0157358
168,3.69967,0.0156958
169,3.69996,0.015296
170,3.69989,0.0156808
171,3.69974,0.015331
172,3.69967,0.0163505
173,3.69945,0.0180048
174,3.69982,0.0184396
175,3.69989,0.0195641
176,3.70048,0.0225777
177,3.70004,0.0195291
178,3.70004,0.0168403
179,3.69967,0.0154009
180,3.70011,0.015266
181,3.6996,0.0158807
182,3.69967,0.0150911
183,3.6996,0.0151561
184,3.70018,0.0173351
185,3.69945,0.0155059
186,3.6993,0.0148412
187,3.69938,0.0159807
188,3.69952,0.0154759
189,3.69996,0.0155859
190,3.69982,0.0156358
191,3.70004,0.015361
192,3.70004,0.0135918
193,3.70004,0.0169603
194,3.6996,0.0158857
195,3.70048,0.015276
196,3.69982,0.0148062
197,3.69967,0.0158258
198,3.69989,0.0171252
199,3.69996,0.0148762
200,3.69967,0.0140765
201,3.69989,0.0171202
202,3.70011,0.0147762
203,3.69974,0.0162106
204,3.69952,0.015376
205,3.69989,0.0158058
206,3.69996,0.0161456
207,3.70026,0.0134468
208,3.69982,0.0165005
209,3.69996,0.0146163
210,3.70033,0.0173101
211,3.6996,0.0168803
212,3.69996,0.0157858
213,3.69982,0.0162706
214,3.69989,0.0156858
215,3.69967,0.0145913
216,3.70011,0.0163405
217,3.69967,0.0151411
218,3.69967,0.0157658
219,3.69989,0.0161056
220,3.7004,0.0165754
221,3.70011,0.0172501
222,3.69974,0.015371
223,3.69989,0.0151011
224,3.70004,0.0172001
225,3.70018,0.0154759
226,3.7004,0.0149512
227,3.69982,0.0172701
228,3.69967,0.0162906
229,3.69967,0.0149761
230,3.69908,0.0149462
231,3.70004,0.0160357
232,3.69982,0.0157008
233,3.70004,0.0158208
234,3.69967,0.0183996
235,3.69982,0.0186745
236,3.69974,0.019819
237,3.69967,0.0223828
238,3.69974,0.0218381
239,3.69989,0.0147113
240,3.6996,0.0148462
241,3.70004,0.0162706
242,3.69952,0.0160557
243,3.70018,0.0156858
244,3.69989,0.0141815
245,3.69974,0.0154059
246,3.6993,0.0171052
247,3.70018,0.0144964
248,3.70033,0.0159407
249,3.69938,0.0164255
250,3.69996,0.0155059
251,3.69974,0.0154459
252,3.69967,0.0149661
253,3.70048,0.0162156
254,3.69996,0.0150861
255,3.69982,0.0161606
256,3.69989,0.0156458
257,3.69982,0.0150011
258,3.69938,0.0157758
259,3.70011,0.0160257
260,3.70018,0.0161556
261,3.69989,0.0162056
262,3.69967,0.0149012
263,3.69982,0.0148712
264,3.69982,0.015396
265,3.69989,0.0158707
266,3.70004,0.015296
267,3.7004,0.015396
268,3.70018,0.0166304
269,3.69952,0.0146313
270,3.70004,0.0158008
271,3.70004,0.0157858
272,3.69996,0.0161306
273,3.6996,0.0155459
274,3.70004,0.0158807
275,3.69945,0.0159207
276,3.70077,0.0157908
277,3.70048,0.0162756
278,3.70048,0.0142914
279,3.70026,0.0156258
280,3.70018,0.0163305
281,3.69952,0.015341
282,3.70018,0.0181147
283,3.6996,0.0174001
284,3.69967,0.0143464
285,3.69989,0.0159657
286,3.69982,0.0166054
287,3.69945,0.0145963
288,3.69982,0.0158757
289,3.70033,0.017485
290,3.70011,0.0145513
291,3.70018,0.0151761
292,3.69974,0.0165704
293,3.69996,0.0163055
294,3.69952,0.0167753
295,3.69974,0.0189744
296,3.6996,0.0184396
297,3.69974,0.0195491
298,3.7004,0.0173201
299,3.69982,0.0166204
300,3.70026,0.0156408
301,3.70055,0.0144264
302,3.69989,0.0163655
303,3.6993,0.0159607
304,3.69916,0.0156059
305,3.70026,0.0156758
306,3.69996,0.0149961
307,3.70026,0.0161006
308,3.70004,0.0154409
309,3.69952,0.0159157
310,3.69996,0.0149611
311,3.70004,0.0168803
312,3.69967,0.0154659
313,3.69989,0.015246
314,3.69952,0.0149611
315,3.69974,0.015276
316,3.69982,0.0150911
317,3.69996,0.0156958
318,3.69967,0.0160507
319,3.69967,0.0164855
320,3.70004,0.015201
321,3.70011,0.0157958
322,3.69989,0.0137167
323,3.69989,0.0156358
324,3.69982,0.0150561
325,3.69952,0.0149611
326,3.69996,0.0156658
327,3.69974,0.0151311
328,3.69989,0.0166054
329,3.69989,0.0162056
330,3.70026,0.0146613
331,3.69967,0.0148962
332,3.69974,0.0165704
333,3.69974,0.0143864
334,3.6996,0.0146063
335,3.70033,0.0167703
336,3.70004,0.0158258
337,3.6996,0.0134218
338,3.70004,0.0159957
339,3.70011,0.0162856
340,3.69974,0.0147113
341,3.70004,0.0154809
342,3.70004,0.0162606
343,3.7004,0.0166154
344,3.69996,0.0167154
345,3.69996,0.0170102
346,3.70018,0.0154759
347,3.7004,0.0149512
348,3.70004,0.0160806
349,3.69996,0.0163155
350,3.69996,0.015356
351,3.70018,0.0147263
352,3.69952,0.0170002
353,3.70033,0.015326
354,3.69967,0.0150161
355,3.69952,0.0171402
