timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
3003,1933,441,2816,2404,3118,2197,7402,576,5295,2392,21274,6392,4820,4825,1851,2639
3004,4104,4450,4118,4339,4358,4022,4279,3930,4097,4104,1000,4679,4177,3648,4158,4158
3005,4325,4230,3905,4331,4077,4123,4132,4149,4215,4327,1155,4516,3956,3764,4076,3982
3006,4309,4516,3981,4341,4189,4178,4118,4230,4751,4966,915,5257,4883,4510,5218,4844
3007,5288,5385,4844,5216,5092,5036,5165,5043,4862,4734,263,5041,4476,3988,4377,4152
3007,3789,3361,3550,3959,3794,3885,3774,3838,3815,3986,246,4191,3661,3431,3712,3696
3008,4511,4308,4235,4693,3615,4165,3859,4307,4391,4040,361,4824,3908,3476,4143,3191
3009,2687,268,1932,185,78,2999,560,2229,1904,2275,378,2184,2775,2479,3563,285
3010,1068,3176,1618,726,14,2111,2044,926,1515,1845,362,2056,1616,1404,536,1928
3011,2676,3996,3287,2494,1907,2881,3255,547,3090,524,205,3407,2901,1605,2965,1955
3012,2984,4452,1324,3413,1589,1743,4323,1546,2920,818,191,4359,4070,2215,4047,2725
3012,4150,4421,1024,4007,2775,3695,4622,4434,4038,2444,354,4522,4069,3985,4056,3576
3013,4272,4454,3055,4456,4124,3137,4857,4736,5264,6188,37,8091,7139,6915,8385,7058
3015,7711,8348,6418,7409,6724,7168,7742,5001,5364,5253,562,4728,4272,3952,3714,3195
3016,3854,4166,3405,3645,3417,3452,4031,3429,3534,3723,144,4078,3642,3413,3819,3222
3016,3922,4084,3423,3721,3691,3652,3692,3337,2901,3525,379,3954,3762,3336,4107,3472
3017,3886,3118,3531,3958,3675,3700,4096,3480,3798,3893,432,4126,3398,3406,4080,3318
3018,3800,2454,3094,3782,3776,3686,1749,3419,3552,3821,340,4047,3766,4005,3629,3419
3019,3360,725,3199,3540,3455,3889,31,3077,3541,4019,121,3714,3256,783,3365,828
3019,1048,2983,4072,150,97,1686,1427,3930,1067,2091,22,575,381,1696,360,2522
3020,1949,2340,1654,2585,2110,715,3285,161,1366,22,182,2831,2023,2410,2985,2784
3021,3937,3603,2673,5500,4747,3775,3636,4623,4062,3451,473,5614,4863,5623,5305,6009
3022,5271,4202,3507,3812,3885,1962,3178,3492,2715,3105,184,3598,2815,3098,2829,3359
3023,3559,2647,3337,3620,3373,2303,2933,3509,3072,3333,180,3586,2681,3198,3373,3429
3024,3581,3572,3247,3676,3329,2907,3505,3167,3626,3548,388,3935,3281,3284,3667,3327
3025,3921,3626,3493,3889,3772,3422,3670,3701,3636,3866,345,4218,3741,3418,3529,3930
