timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
50381,259,29203,12767,15346,18759,15622,30336,31530,27617,26862,26225,32767,29661,28044,26654,31041
50389,148,11068,1613,964,4242,881,8604,20685,3976,11116,9349,15930,11057,10499,9659,13058
50397,15,15717,21576,22237,22744,22198,16958,5042,17385,11535,12032,6565,9673,10014,11250,8096
50404,63,27837,32767,32767,32767,32767,28267,31031,29817,32767,32767,30216,31011,29651,32767,28455
50412,164,24105,24353,25310,25564,25217,25167,32767,26268,32767,32767,32767,32767,32767,32767,32767
50420,185,28311,22560,26734,24387,26141,31023,22690,26711,29119,27959,28177,27556,22273,26233,24376
50428,38,12721,5263,3232,415,2401,15175,11172,9858,5198,2651,12811,8672,1448,1715,4965
50435,112,27325,32767,32767,32767,32767,25749,10396,27936,26973,27348,20368,24790,23427,27093,21316
50443,165,32767,31157,32355,32767,32767,32767,26858,32767,32767,32767,32767,32767,32767,32767,32767
50451,174,16683,17262,19563,16801,16698,22253,27861,21787,25598,25875,29994,25802,27178,26456,27331
50458,125,12128,6055,5953,4276,4066,15987,11028,12767,5005,4218,13467,7975,10971,5607,9375
50466,15,4669,24678,22279,24575,25170,4698,14704,9996,17445,16928,9516,14298,13446,16328,12274
50474,168,32666,32555,32767,32767,32767,32767,29272,32767,32767,32767,31647,32767,32767,32767,31493
50482,199,32767,20701,21563,20190,19532,32767,32767,28687,31566,30796,32767,32767,31263,30739,32767
50489,156,9872,7127,5334,7025,8076,11212,24536,9754,17735,14803,17514,14435,15869,16750,16347
50497,61,10351,17262,17230,16674,15549,8832,595,7203,5780,6992,825,5543,4844,6232,3670
50505,71,21762,32767,32767,32767,32767,23086,26800,23951,29652,28869,25369,26824,25306,29379,24509
50513,214,25846,30147,29767,30824,31157,26281,32767,27838,32767,32767,32767,32767,32767,32767,32767
50520,213,26550,16279,18699,18454,18865,27066,21638,23867,21405,20469,23866,22165,22346,20610,25051
50528,62,7570,8366,8266,7984,7072,8959,9979,6365,1427,892,7632,3566,2643,1628,5919
50536,56,24620,28575,30020,28640,28827,18220,8823,19368,21088,21061,16016,18244,17570,19946,16160
50543,115,32767,32767,32767,32767,32767,25551,28860,29820,32767,32767,32767,32767,32767,32767,32767
50551,178,19463,20516,22818,20953,20973,24183,28768,26582,28822,28235,32767,30832,31617,29577,32522
