timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
0,4247,4361,4195,478,19178,3743,7936,1601,7562,50,4467,7214,8019,2679,889,32363
9,26201,25272,26453,19,26200,23458,22933,21753,21932,445,525,22067,21424,20576,22210,18250
25,3131,2001,4936,51,3416,901,4,1279,1536,16982,77,3503,893,327,935,4148
49,2502,2244,3122,37,1408,1161,22,1607,1620,16939,170,4305,1897,1481,3851,5199
80,24407,24270,24464,110,23624,20933,21807,19531,20713,614,3865,19966,19440,17334,19328,15236
119,3102,2500,1957,13,2577,1626,3139,3030,2862,3283,6980,2562,2284,2935,976,2028
166,32354,32767,32761,156,32767,29870,31620,27816,29122,10244,3440,30825,29201,26816,30234,24824
221,23697,24080,24443,133,22932,20379,22547,19429,20381,28,8147,21805,21074,19572,21290,17571
283,11829,11737,10943,42,10745,9948,11562,11454,12068,10375,6504,13090,11838,10665,11534,11149
353,19208,21970,15614,8,18053,20300,24086,20177,21354,32767,8858,27139,22999,20844,23819,23673
430,12221,12636,12282,54,12177,12634,12683,10501,11012,1357,3659,12909,11643,10953,12913,11393
515,21695,21189,24764,45,24451,22526,18149,21629,19193,61,11837,21631,18422,18906,21161,19286
608,31055,30742,32350,156,32661,30477,28031,29554,27815,10280,8237,31156,26778,27277,29400,26602
708,2675,2746,1815,107,2048,2622,2977,2391,2558,2988,448,2727,2184,2536,2529,2173
816,25376,23389,26508,91,25453,23177,21280,21441,21674,1321,6351,21271,20031,19466,20992,18266
931,5059,1905,7663,48,5457,4614,59,3009,3101,18713,11235,526,1011,757,634,898
1054,8064,4978,9217,52,8703,8306,2626,7116,6151,13475,12362,3632,4456,2894,4141,3609
1184,32767,32767,32767,98,32767,32767,31880,31418,30532,10657,11251,32686,30004,27201,31110,26425
1323,6760,5974,4970,53,7020,5189,5462,4369,5452,6896,8854,6465,5336,5186,5705,5000
1469,28761,30500,25479,5,28285,27975,31438,25635,26944,30984,3925,32118,28506,26235,30039,24984
1622,29016,31707,26056,58,28735,28281,30890,26300,27124,31187,4556,32528,29014,26712,30810,25688
