timestamp,ch1,ch2,ch3,ch4,ch5,ch6,ch7,ch8,ch9,ch10,ch11,ch12,ch13,ch14,ch15,ch16
14.613,4365.465,4365.465,4365.465,4365.465,4365.465,4365.465,4365.465,4365.465,4365.465,4365.465,4365.465,4365.465,4365.465,4365.465,4365.465,4365.465
14.616,4366.245,4366.245,4366.245,4366.245,4366.245,4366.245,4366.245,4366.245,4366.245,4366.245,4366.245,4366.245,4366.245,4366.245,4366.245,4366.245
14.621,4367.415,4367.415,4367.415,4367.415,4367.415,4367.415,4367.415,4367.415,4367.415,4367.415,4367.415,4367.415,4367.415,4367.415,4367.415,4367.415
14.628,4368.975,4368.975,4368.975,4368.975,4368.975,4368.975,4368.975,4368.975,4368.975,4368.975,4368.975,4368.975,4368.975,4368.975,4368.975,4368.975
14.635,4370.925,4370.925,4370.925,4370.925,4370.925,4370.925,4370.925,4370.925,4370.925,4370.925,4370.925,4370.925,4370.925,4370.925,4370.925,4370.925
14.637,4371.51,4371.51,4371.51,4371.51,4371.51,4371.51,4371.51,4371.51,4371.51,4371.51,4371.51,4371.51,4371.51,4371.51,4371.51,4371.51
14.643,4373.07,4373.07,4373.07,4373.07,4373.07,4373.07,4373.07,4373.07,4373.07,4373.07,4373.07,4373.07,4373.07,4373.07,4373.07,4373.07
14.645,4373.655,4373.655,4373.655,4373.655,4373.655,4373.655,4373.655,4373.655,4373.655,4373.655,4373.655,4373.655,4373.655,4373.655,4373.655,4373.655
14.65,4375.41,4375.41,4375.41,4375.41,4375.41,4375.41,4375.41,4375.41,4375.41,4375.41,4375.41,4375.41,4375.41,4375.41,4375.41,4375.41
14.653,4376.775000000001,4376.775000000001,4376.775000000001,4376.775000000001,4376.775000000001,4376.775000000001,4376.775000000001,4376.775000000001,4376.775000000001,4376.775000000001,4376.775000000001,4376.775000000001,4376.775000000001,4376.775000000001,4376.775000000001,4376.775000000001
14.657,4378.14,4378.14,4378.14,4378.14,4378.14,4378.14,4378.14,4378.14,4378.14,4378.14,4378.14,4378.14,4378.14,4378.14,4378.14,4378.14
14.659,4378.725,4378.725,4378.725,4378.725,4378.725,4378.725,4378.725,4378.725,4378.725,4378.725,4378.725,4378.725,4378.725,4378.725,4378.725,4378.725
14.664,4380.285,4380.285,4380.285,4380.285,4380.285,4380.285,4380.285,4380.285,4380.285,4380.285,4380.285,4380.285,4380.285,4380.285,4380.285,4380.285
14.665,4380.675,4380.675,4380.675,4380.675,4380.675,4380.675,4380.675,4380.675,4380.675,4380.675,4380.675,4380.675,4380.675,4380.675,4380.675,4380.675
14.666,4381.26,4381.26,4381.26,4381.26,4381.26,4381.26,4381.26,4381.26,4381.26,4381.26,4381.26,4381.26,4381.26,4381.26,4381.26,4381.26
14.671,4383.015,4383.015,4383.015,4383.015,4383.015,4383.015,4383.015,4383.015,4383.015,4383.015,4383.015,4383.015,4383.015,4383.015,4383.015,4383.015
